id,observed_on,time_observed_at,quality_grade,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name
2428225,21/11/15,2015-11-21 05:08:43 UTC,research,,1.315366582,103.9785475,16,31447,,obscured,TRUE,,,Smooth-coated Otter,Lutrogale perspicillata,Smooth-coated Otter,Mammalia,41856,Carnivora,Mustelidae
2428229,16/9/15,2015-09-15 21:47:00 UTC,research,"West, SG",1.34165545,103.6753419,1032,1032,,open,FALSE,gps,gps,Sus scrofa vittatus,Sus scrofa vittatus,Banded Pig,Mammalia,209354,Artiodactyla,Suidae
2489669,10/12/15,2015-12-09 20:17:00 UTC,research,"North-East, SG",1.40761,103.981133,,,,open,FALSE,,,Sus scrofa vittatus,Sus scrofa vittatus,Banded Pig,Mammalia,209354,Artiodactyla,Suidae
2572651,11/1/16,2016-01-11 05:12:29 UTC,research,"Varsity Park Condo, Singapore",1.295933,103.768862,40,40,,,FALSE,,manual,Mutilating Gecko,Gehyra mutilata,Common Four-clawed Gecko,Reptilia,34630,Squamata,Gekkonidae
2831395,6/3/16,,research,Singapore,1.352083,103.819836,32648,32648,,open,FALSE,,,Rotwangenschmuckschildkröte,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
2879103,9/7/14,,research,"Bukit Panjang & MacRitchie Reservoir Park, Singapore",1.352083,103.819836,32648,32648,,,FALSE,,,Oriental Whipsnake,Ahaetulla prasina,Oriental Whipsnake,Reptilia,30187,Squamata,Colubridae
2879109,9/7/14,,research,"Bukit Panjang & MacRitchie Reservoir Park, Singapore",1.352083,103.819836,32648,32648,,open,FALSE,,,Many-lined Sun-skink,Eutropis multifasciata,Common Sun Skink,Reptilia,38008,Squamata,Scincidae
2879145,30/7/14,,research,,1.204053677,103.993046,32648,32648,,obscured,TRUE,,,Crab-eating Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,Primates,Cercopithecidae
2882758,13/4/16,,research,12 west coast walk,1.309722,103.764191,212,212,,,FALSE,,,Common House Gecko,Hemidactylus frenatus,Asian House Gecko,Reptilia,51940,Squamata,Gekkonidae
2888239,6/4/16,2016-04-06 05:50:33 UTC,research,128575 주빌리 로드 27A号,1.3066603,103.7660708,25,25,,,FALSE,gps,gps,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
